ID,Title,State,State Reason,Number,Created At,Updated At,Closed At,URL,Author,Labels,Assignees,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,24,,
I_kwDOAJZX9s6fYdws,"""Schedule for Later"" Calendar highlights the wrong date",CLOSED,NOT_PLANNED,21660,2024-11-20T00:45:27Z,2024-11-20T05:28:35Z,2024-11-20T02:16:40Z,https://github.com/TryGhost/Ghost/issues/21660,ShrootBuck,,,"vikaspotluri123 (2024-11-20T01:50:10Z): I think it was fixed in https://github.com/TryGhost/Ghost/pull/21657 | sagzy (2024-11-20T02:18:54Z): Hey @ShrootBuck, thanks for the report! Confirming what @vikaspotluri123 said, we've had multiple reports of this issue and it has now been fixed in https://github.com/TryGhost/Ghost/pull/21657. The fix will be part of the next Ghost release, planned for Friday, Nov 22 2024 15:00 UTC | ShrootBuck (2024-11-20T05:28:34Z): ah ok, my bad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
I_kwDOAJZX9s6fF9_v,New typography feature prevents theme's custom.typography value from appearing,CLOSED,NOT_PLANNED,21644,2024-11-18T16:37:43Z,2024-12-11T09:35:25Z,2024-12-11T09:35:25Z,https://github.com/TryGhost/Ghost/issues/21644,cathysarisky,needs:triage,,"cathysarisky (2024-11-18T17:26:53Z): Solo and Episode are impacted. | minimaluminium (2024-11-20T02:39:02Z): Hey @cathysarisky. Just to confirm, it only happened when you used one of the official themes, is that correct? Seeing that you mentioned Solo and Episode were impacted, I assume that was the case, but just wanted to be extra sure. | cathysarisky (2024-11-20T03:08:08Z): Hey @minimaluminium , I saw it first on a client's site, which is a heavily-modified version of episode.  It was installed by uploading a zip, not via the one-click deploy.

I don't know whether any non-official themes use 'typography' as a custom variable, but it wouldn't surprise me if some do. | cathysarisky (2024-11-20T12:33:02Z): @minimaluminium , I saw a comment from you that has disappeared.  So I think I understand that this is the intended behavior for official themes with a typography attribute, and you're checking for theme name and maybe now author.  (Although I don't normally update those fields, it isn't hard to do so if it's documented.)  But... rather than trying to come up with some logic that removes the existing displayed typography settings from two variables, why not just update those two themes?  That way, anyone running an old version still has access to episode's ""wide"" and ""narrow"" typography settings.  I'm not sure I see the benefit of hiding the setting unless you're also patching out the use of the custom variable.  (Which, when I checked episode this morning, you hadn't.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
I_kwDOAJZX9s6eyTnp,Schedule for Later Calendar highlights the wrong date,CLOSED,COMPLETED,21634,2024-11-16T07:49:36Z,2024-12-12T13:30:14Z,2024-11-19T20:55:14Z,https://github.com/TryGhost/Ghost/issues/21634,ShrootBuck,,,ShrootBuck (2024-11-20T00:43:28Z): Why did Linear close as completed? The issue isn't fixed yet | vikaspotluri123 (2024-11-20T01:50:28Z): I think it was fixed in https://github.com/TryGhost/Ghost/pull/21657 but not linked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
I_kwDOAJZX9s6exP3O,Tags doesn't seem to work and redirected to 404 page,CLOSED,COMPLETED,21633,2024-11-16T03:22:40Z,2024-11-19T20:46:30Z,2024-11-19T20:46:18Z,https://github.com/TryGhost/Ghost/issues/21633,zinkohlaing,,,"cathysarisky (2024-11-19T13:05:39Z): I believe you got it solved over on the Ghost forum, right?  https://forum.ghost.org/t/tags-doesnt-seem-to-work-and-redirected-to-404-page/52525/4

So this issue can be closed. | zinkohlaing (2024-11-19T20:19:44Z): 🙌yes!

Sent from Gmail Mobile


On Wed, 20 Nov 2024 at 12:06 am, Cathy Sarisky ***@***.***>
wrote:

> I believe you got it solved over on the Ghost forum, right?
> https://forum.ghost.org/t/tags-doesnt-seem-to-work-and-redirected-to-404-page/52525/4
>
> So this issue can be closed.
>
> —
> Reply to this email directly, view it on GitHub
> <https://github.com/TryGhost/Ghost/issues/21633#issuecomment-2485664795>,
> or unsubscribe
> <https://github.com/notifications/unsubscribe-auth/ADJDOQ4F4VUKOH6HAKL3OKL2BMZTVAVCNFSM6AAAAABR4LOZESVHI2DSMVQWIX3LMV43OSLTON2WKQ3PNVWWK3TUHMZDIOBVGY3DINZZGU>
> .
> You are receiving this because you authored the thread.Message ID:
> ***@***.***>
>
 | 9larsons (2024-11-19T20:46:18Z): Glad you got it sorted 👍 .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
I_kwDOAJZX9s6dtlwH,The js file cannot be correctly loaded,CLOSED,COMPLETED,21578,2024-11-09T11:51:25Z,2024-11-18T14:34:30Z,2024-11-18T14:34:17Z,https://github.com/TryGhost/Ghost/issues/21578,hogger0,,,"vikaspotluri123 (2024-11-09T22:27:52Z): Please create a topic on the [forum](https://forum.ghost.org) with more details 🙂  | ronaldlangeveld (2024-11-13T08:11:43Z): Hi @hogger0  👋 

To override the configurations, you can add the following to your config.production.json (or config.development.json, depending on your environment):

```
    ""portal"": {
        ""url"": ""https://cdn.jsdelivr.net/ghost/portal@~{version}/umd/portal.min.js"",
        ""version"": ""2.46""
    },
    ""sodoSearch"": {
        ""url"": ""https://cdn.jsdelivr.net/ghost/sodo-search@~{version}/umd/sodo-search.min.js"",
        ""styles"": ""https://cdn.jsdelivr.net/ghost/sodo-search@~{version}/umd/main.css"",
        ""version"": ""1.5""
    },
```

For more details on configuration files, check out our documentation here: [Ghost Configuration Guide](https://ghost.org/docs/config/). | hogger0 (2024-11-13T08:16:18Z): > Hi @hogger0 👋
> 
> To override the configurations, you can add the following to your config.production.json (or config.development.json, depending on your environment):
> 
> ```
>     ""portal"": {
>         ""url"": ""https://cdn.jsdelivr.net/ghost/portal@~{version}/umd/portal.min.js"",
>         ""version"": ""2.46""
>     },
>     ""sodoSearch"": {
>         ""url"": ""https://cdn.jsdelivr.net/ghost/sodo-search@~{version}/umd/sodo-search.min.js"",
>         ""styles"": ""https://cdn.jsdelivr.net/ghost/sodo-search@~{version}/umd/main.css"",
>         ""version"": ""1.5""
>     },
> ```
> 
> For more details on configuration files, check out our documentation here: [Ghost Configuration Guide](https://ghost.org/docs/config/).

thanks. i'll try",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
I_kwDOAJZX9s6dYE_h,"Dynamic routing accepts only YAML, but not YML",CLOSED,COMPLETED,21560,2024-11-07T08:59:07Z,2024-12-11T14:16:35Z,2024-12-11T14:16:35Z,https://github.com/TryGhost/Ghost/issues/21560,sm-samax,,,"vikaspotluri123 (2024-11-07T16:23:56Z): From your title, this is by design, but from your description, there might be a bug/docs issue 😁 

> Because the default routes in Ghost is in yml format and the common sense dictates to follow this example. It's just a small thing, but one can lose time with it.

Which default routes are you referring to? | sm-samax (2024-11-08T15:00:59Z): I see now that in the docker image it's indeed `yaml`. I copied the `routes.yml` from `/content/settings/` of a localy installed ghost instance and it caused the confusion.

Thank you for the feedback. :)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,
I_kwDOAJZX9s6dBp6b,Breaking Change to Embeddable Signup Form - Integrity Token,CLOSED,COMPLETED,21527,2024-11-05T05:30:12Z,2024-11-19T16:34:47Z,2024-11-19T16:34:47Z,https://github.com/TryGhost/Ghost/issues/21527,lnhrdt,"bug, P2 - High",sagzy,"sagzy (2024-11-12T03:22:59Z): Hey @lnhrdt, thanks for raising the issue!

You're absolutely right, this was a breaking change and should not have been released as a patch.

We've now corrected the issue, by publishing a new patch version of the signup form, v.0.1.8. Publications running Ghost < 5.91.0 now have a functional embedded signup form again, without having to upgrade to a later version of Ghost. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
I_kwDOAJZX9s6c0VUm,There is an incompatible cmd command in Powershell. Please make it compatible with Powershell.,CLOSED,NOT_PLANNED,21501,2024-11-03T04:42:30Z,2024-11-05T03:23:00Z,2024-11-05T03:22:35Z,https://github.com/TryGhost/Ghost/issues/21501,Super1Windcloud,self hosting,sagzy,"cathysarisky (2024-11-03T12:34:10Z): Hey @Super1Windcloud , thanks for the report.  I suspect this is actually coming from the yarn dependency, not ghost-cli itself.  (Yarn includes a script with that syntax, but ghost-cli does not.)

I'm commenting to make a suggestion, not offer a fix for this bug, sorry.  

I do all of my development work (both theme and core) on a Windows laptop, but I do it with WSL2.  That lets you run a Linux environment (without dual booting), and support for Linux is going to be a lot more consistent than support for Windows.  There just aren't as many people developing on Windows, and so the bugs tend to persist longer.  

Related issue (probably the same bug?) here:
* https://github.com/yarnpkg/yarn/issues/8796

 | Super1Windcloud (2024-11-03T13:37:53Z): Maybe, WIndows+scoop makes my work more comfortable, a perfect replacement for macOS | vikaspotluri123 (2024-11-03T16:36:09Z): @Super1Windcloud it looks like you're trying to install Ghost using the CLI. For support on this, the [forum](https://forum.ghost.org) is the best place to get help 🙂  | Super1Windcloud (2024-11-04T01:25:30Z): Maybe I can install it normally using cmd, but I only like Powershell7, so I have given up the idea of ​​using ghost for the time being. | github-actions (2024-11-05T03:22:34Z): Hey @Super1Windcloud 👋

We've reviewed your bug report and believe the issue is environment specific, rather than a bug. Many questions can be answered by reviewing our [documentation](https://ghost.org/docs/). If you can't find an answer then our [forum](https://forum.ghost.org/c/help/self-hosting/18) is a great place to get community support, plus it helps create a central location for searching problems/solutions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
I_kwDOAJZX9s6cyKGx,"GIF upload not working: ""Request not understood error""",CLOSED,NOT_PLANNED,21500,2024-11-02T11:13:22Z,2024-11-05T03:26:04Z,2024-11-05T03:26:04Z,https://github.com/TryGhost/Ghost/issues/21500,migu0,Ghost(Pro),,"cathysarisky (2024-11-02T20:11:55Z): I was able to confirm there's a problem (on paid Ghost Pro, Creator level plan), using the file linked above.  The error message in the console (400 status) is:
```
{message: ""Request not understood error, cannot upload image."",…}
code
""Image processing failed Unable to manipulate image.""
```
The file in question is 1.44 MB, so not near the upload limit.

Not all gifs are broken.  I tried with a smaller one, 84KB, and it uploaded fine.  I also tried a 2MB animated webp (from giphy) that uploaded fine. 

It might make sense to reach out to the Ghost Pro support folks - they're in the best position to check server logs for any hints about what's going on here. | github-actions (2024-11-05T03:26:03Z): Hi there! If you're having any issue with a Ghost(Pro) site, please drop us an email on support@ghost.org and we'll be more than happy to give you a hand directly 🙂",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
I_kwDOAJZX9s6cs998,Unable to Correctly Render Colored Text in Ghost ,CLOSED,NOT_PLANNED,21496,2024-11-01T13:26:37Z,2024-11-04T11:26:49Z,2024-11-04T11:12:17Z,https://github.com/TryGhost/Ghost/issues/21496,imseanpan,support request,,"imseanpan (2024-11-03T10:19:52Z): ### Update

After further debugging, I found that the saved HTML used the `render` method from the `kg-lexical-html-renderer` package. Fortunately, I found the `render(): string` method in the `utils->TextContent.ts` file and discovered that the `node` object does have the `__style` property. However, the `LexicalNode` defined in TypeScript does not include this property.

To verify this issue, I added the following experimental code:

```typescript
// imseanpan add test code
if (node.__style !== '') {
    const span = document.createElement('span');            
    span.setAttribute('style', node.__style);
    span.textContent = node.getTextContent();
    currentNode.append(span);            
    continue;
}
```
It appears to be working successfully. Although my code ran successfully, it is not rigorous. Therefore, I'm just identifying the issue and confirming the problematic code location. If possible, I hope the official team can quickly fix this issue and add support for changing text color so that we can happily use Ghost. 

<img width=""1350"" alt=""20241103180642"" src=""https://github.com/user-attachments/assets/5c315108-5c0c-40da-91b8-8d49dc6e58da"">

<img width=""878"" alt=""20241103181511"" src=""https://github.com/user-attachments/assets/b18bc8bb-27c2-4924-b8bd-df5a29fd0781"">

<img width=""825"" alt=""20241103181708"" src=""https://github.com/user-attachments/assets/67775cc2-cecd-4e8e-9b3c-1f0a2e8723ab"">

Thank you!
 | kevinansfield (2024-11-04T11:11:24Z): Style support for text was intentionally left out. I thought we also had a transform to strip style properties on the Lexical side of things too but I can't find that now.

It's a design decision for our editor to provide minimal routes to creating poorly designed content and text color was a big part of that, not just for design but because of the accessibility issues that can create across light/dark mode and ensuring content displays correctly across different themes. On top of that, style attributes can leak across copy/paste into the editor which then creates a whole lot of other issues because there's no real way to undo that unless you add in support for editing all of the different styles that can be attached.

As such I wouldn't consider this a bug. If you're looking to make changes in your own fork then the forum ([I see you've already duplicated your question there](https://forum.ghost.org/t/unable-to-correctly-render-colored-text-in-ghost/52144/1)) is a better place to get support.<br><br>\_If\_ we were to support text color it would likely be done via a custom property on our lexical nodes that is rendered as a class attribute. That way Ghost would be able to provide some default colours which can be overridden by themes, without hard-coded style attributes causing potential problems. | github-actions (2024-11-04T11:12:20Z): Hey @imseanpan 👋 We ask that you please do not use GitHub for help or support 😄. We use GitHub solely for bug-tracking and community-driven development.

Many questions can be answered by reviewing our [documentation](https://ghost.org/docs/). If you can't find an answer then our [forum](https://forum.ghost.org/c/help/6) is a great place to get community support, plus it helps create a central location for searching problems/solutions.

FYI: Many projects use issue templates to point you in the right direction. Reading the guidelines or issue templates before opening issues can save you and project maintainers valuable time.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,Duplicate
I_kwDOAJZX9s6csjM5,Enter breaks navigation editor,CLOSED,COMPLETED,21494,2024-11-01T12:14:55Z,2024-11-08T11:26:35Z,2024-11-07T11:36:24Z,https://github.com/TryGhost/Ghost/issues/21494,cathysarisky,"bug, design",dvdwinden,"cathysarisky (2024-11-01T15:09:58Z): This looks like a tricky react state bug of some sort. Having trouble putting my finger on it, but basically, setNewItem doesn't get called for changes in the URL field , only on blur.  The enter key does not trigger the necessary saving of the url before a new row gets added.  I think. | dvdwinden (2024-11-05T15:40:35Z): @cathysarisky Thank you for flagging this one! We've picked it up, and it's a tricky one indeed. We'll keep you posted. | cathysarisky (2024-11-05T15:50:45Z): Oh good, @dvdwinden , because I spent a couple hours looking for it, and it's got me stumped! | dvdwinden (2024-11-07T11:36:24Z): @cathysarisky We've just reverted a previous change that caused this regression, which will go out with our next release, and have re-opened an internal issue to implement proper keyboard navigation for this bit of the Admin. 

I'm closing this issue for now.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
